xloc,yloc
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1190,299
1187,299
1173,296
1145,289
1099,285
1040,278
963,275
886,271
823,271
791,285
788,288
788,288
788,288
788,288
788,288
788,288
788,288
788,288
788,288
788,288
788,288
788,288
788,288
735,268
655,250
571,247
490,243
417,243
357,246
308,253
273,260
252,264
245,267
242,267
242,267
242,267
242,267
242,267
238,261
238,250
235,247
235,247
235,247
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,243
235,240
235,236
235,233
235,226
235,222
235,219
238,215
238,215
238,215
238,215
245,215
255,215
273,215
294,215
318,218
343,225
364,232
381,239
385,243
385,243
385,243
385,243
388,243
388,243
388,243
388,243
388,240
388,240
388,240
382,236
378,233
371,233
364,229
361,229
361,229
361,229
361,229
361,229
361,229
361,229
361,229
361,229
361,229
361,229
361,229
367,229
367,229
367,229
367,229
367,229
367,229
367,229
367,229
367,229
367,229
367,229
350,229
343,229
340,253
343,295
346,362
343,432
340,505
346,589
350,659
347,715
340,747
333,764
322,775
308,789
294,799
280,806
270,813
263,813
263,813
263,813
263,813
263,813
263,817
263,817
263,817
263,817
263,817
263,817
263,817
263,817
263,817
263,817
263,814
263,814
259,814
256,810
256,807
252,807
249,807
249,807
249,807
249,807
249,807
249,807
249,807
249,810
252,810
252,810
252,810
252,810
252,810
252,810
255,810
259,810
262,803
266,800
269,800
269,796
269,796
269,796
269,796
269,796
269,796
266,799
266,803
266,803
266,806
266,810
269,813
269,813
269,813
269,813
269,813
269,810
269,807
266,807
266,807
263,803
263,803
263,803
263,803
263,803
263,803
266,806
266,806
266,806
269,806
273,806
273,806
273,803
273,800
273,800
273,800
273,800
273,800
273,800
270,800
270,800
273,800
273,800
273,800
273,800
273,800
273,800
273,800
273,800
273,796
270,796
266,796
263,799
259,799
259,799
259,799
259,803
262,803
262,803
262,803
262,803
262,803
262,803
269,803
276,803
283,806
297,810
315,817
329,820
339,820
353,824
374,824
399,824
423,827
441,831
455,834
458,834
458,834
458,834
458,834
458,834
458,834
462,834
465,831
472,828
476,824
476,824
476,824
476,821
476,821
476,821
476,821
476,817
476,817
476,814
473,814
469,810
469,810
469,810
469,810
469,810
466,810
466,810
466,813
466,813
466,813
466,813
469,813
472,810
472,807
476,800
476,793
476,793
476,789
476,789
476,789
476,789
473,789
469,789
469,789
472,792
476,792
476,792
476,792
476,792
476,792
476,792
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
476,789
473,789
473,789
473,789
473,789
473,789
473,789
473,789
473,792
473,792
473,792
473,792
473,792
473,796
479,799
483,806
486,820
486,838
490,855
490,866
490,873
493,880
497,883
504,887
514,894
521,897
525,901
528,901
528,901
528,901
528,901
528,901
528,901
528,898
528,894
525,891
525,891
522,887
518,887
518,884
515,880
511,877
511,877
508,873
508,873
508,873
508,873
504,870
504,866
504,866
504,866
504,866
504,866
504,866
504,866
504,866
504,866
504,863
504,863
504,863
504,863
504,863
504,863
504,863
504,863
504,863
504,863
504,866
504,866
504,866
504,869
504,869
504,873
504,876
504,876
501,880
501,880
501,880
501,880
501,883
501,883
501,887
501,890
497,890
497,894
497,897
497,897
494,897
494,901
490,904
490,904
490,904
490,904
490,904
490,904
490,908
490,908
490,908
490,908
490,908
487,908
487,911
487,911
487,911
487,911
487,911
483,915
483,915
483,915
483,915
483,915
483,915
483,915
483,918
480,918
480,918
476,922
476,922
473,925
473,925
473,925
469,925
469,929
466,929
466,929
466,929
462,929
462,932
459,932
455,932
455,932
452,936
452,936
452,936
452,936
448,936
448,936
448,936
445,939
441,939
441,939
441,939
438,939
434,939
431,939
427,939
424,939
424,943
420,943
420,943
417,943
413,943
410,943
406,943
406,943
406,943
406,943
403,943
399,943
396,943
396,943
396,943
392,943
392,943
389,943
385,943
385,943
385,943
382,943
382,943
378,943
375,943
375,943
371,943
368,943
364,943
357,943
354,943
347,943
343,943
343,943
340,943
340,943
336,943
333,943
333,943
329,943
329,943
326,943
326,943
322,940
319,940
315,940
315,940
312,940
308,940
308,940
305,940
305,936
301,936
301,936
298,936
294,933
294,933
291,933
291,933
291,933
291,933
291,933
287,929
287,929
287,926
284,926
284,926
284,926
280,922
277,922
277,919
273,919
270,919
270,915
266,915
266,915
266,915
266,915
266,915
266,915
266,915
266,915
266,915
266,915
266,912
263,912
263,908
263,908
263,908
263,908
263,905
263,905
263,901
259,901
259,901
259,901
259,898
259,898
256,894
256,891
256,891
256,887
256,887
252,884
252,884
252,880
249,880
249,880
245,877
245,877
242,873
242,873
238,870
238,870
235,866
235,866
235,863
235,863
231,863
231,863
231,859
231,859
228,859
228,856
228,856
224,852
221,849
221,849
221,845
221,845
217,845
217,845
217,842
217,842
214,842
214,842
214,842
214,842
214,842
214,842
214,842
214,842
214,842
214,842
214,842
214,842
214,842
214,838
220,838
241,831
283,824
357,810
451,793
563,768
689,751
808,726
917,698
997,667
1057,635
1095,593
1109,541
1109,485
1106,439
1096,408
1089,387
1085,369
1082,359
1082,355
1082,355
1085,352
1095,345
1099,341
1102,341
1102,341
1102,341
1102,338
1102,334
1106,334
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
1106,331
